ClubName,LocationAddress,PostalAddress,Region,Contact,Email,Phone,Website,Facilities
Balbriggan Golf Club,Blackhall Balbriggan Co. Dublin K32 HH00,,Dublin,,info@balbriggangolfclub.com,018412229,http://www.balbriggangolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 6, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 4, Available: True); Pull/Push Carts (Quantity: 40, Available: True)"
Balcarrick Golf Club,Corballis Donabate Co. Dublin,Corballis Donabate Co. Dublin,Dublin,Balcarrick Admin,Balcarrickgcadm@outlook.com,018436957,http://www.balcarrickgolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 5, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 24, Available: True)"
Ballaghaderreen Golf Club,Ballaghaderreen Co.Roscommon,,Roscommon,,ballaghaderreengolfclub@gmail.com,0871463628,,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 0, Available: False); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 23, Available: True)"
Ballina Golf Club,Mossgrove Ballina Co. Mayo,,Mayo,,info@ballina-golf.com,09621050,http://www.ballina-golf.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 5, Available: True); Golf Buggies (Quantity: 4, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 2, Available: True); Pull/Push Carts (Quantity: 30, Available: True)"
Ballinamore Golf Club,Creevy Ballinamore Co. Leitrim,Creevy Ballinamore Co. Leitrim,Leitrim,Patricia Bohan,ballinamoregolfclub@outlook.ie,0872505031,https://www.ballinamoregolf.club,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: False); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 0, Available: False); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 20, Available: True)"
Ballinascorney Golf Club,Oldfield Kilmashogue Lane Rathfarnham Dublin 16,,Dublin,,,014937755,http://ballinascorneygolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 3, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 0, Available: False)"
Ballinasloe Golf Club,"Rosgloss, Ballinasloe, Co. Galway. H53 X940",,Galway,,BallinasloeGolfClub@hotmail.com,0909642126,http://www.ballinasloegolfclub.ie,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 5, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 20, Available: True)"
Ballinrobe Golf Club,Cloonacastle Ballinrobe Co. Mayo,Cloonacastle Ballinrobe Co.Mayo,Mayo,Aled Roberts,info@ballinrobegolfclub.com,0949541118,http://www.ballinrobegolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 5, Available: True); Golf Buggies (Quantity: 8, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 2, Available: True); Pull/Push Carts (Quantity: 50, Available: True)"
Ballybofey & Stranorlar GC,The Glebe Stranorlar Ballybofey Co. Donegal,F93 EPW1,Donegal,,info@bsgc.ie,0749131093,http://www.bsgc.ie,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 5, Available: True); Golf Buggies (Quantity: 3, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 2, Available: True); Pull/Push Carts (Quantity: 30, Available: True)"
Ballybunion Golf Club,Sandhill Road Ballybunion Co. Kerry,"Sandhill Road, Ballybunion, Co. Kerry",Kerry,John Eggleston,info@ballybuniongolfclub.ie,06827146,http://www.ballybuniongolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 30, Available: True); Club Sets (Quantity: 15, Available: True); Golf Buggies (Quantity: 0, Available: False); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 6, Available: True); Pull/Push Carts (Quantity: 50, Available: True)"
Ballycastle Golf Club,2 Cushendall Road Ballycastle Co Antrim Co. Antrim,,Antrim,,info@ballycastlegolfclub.com,20762536,,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 5, Available: True); Club Sets (Quantity: 5, Available: True); Golf Buggies (Quantity: 2, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 5, Available: True); Pull/Push Carts (Quantity: 20, Available: True)"
Ballyclare Golf Club,25 Springvale Road Ballyclare Co. Antrim BT39 9JW,,Antrim,Andrew Wilson,info@ballyclaregolfclub.com,028 9332 2696,http://ballyclaregolfclub.com/,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 6, Available: True); Golf Buggies (Quantity: 5, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 20, Available: True)"
Ballyhaunis Golf Club,Coolnaha Ballyhaunis Co. Mayo F35 P661,Coolnaha Ballyhaunis Co. Mayo F35 P661,Mayo,Maria Campbell	,ballyhaunisgolf@gmail.com,0861652680,https://ballyhaunisgolfclub.ie/,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 0, Available: False); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 0, Available: False)"
Ballyheigue Castle GC,Ballyheigue Co. Kerry,,Kerry,,golf@ballyheiguecastlegolfclub.com,0667133555,http://www.ballyheiguecastlegolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 20, Available: True); Golf Buggies (Quantity: 4, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 20, Available: True)"
Ballykisteen Golf Club,Ballykisteen Limerick Junction Co Tipperary,,Tipperary,,,062-85112,http://www.ballykisteengolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 8, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 30, Available: True)"
Ballyliffin Golf Club,Ballyliffin Inishowen Co. Donegal,,Donegal,John Farren,,0749376119,http://www.ballyliffingolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 30, Available: True); Club Sets (Quantity: 20, Available: True); Golf Buggies (Quantity: 12, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 10, Available: True); Pull/Push Carts (Quantity: 100, Available: True)"
Ballymena Golf Club,"128 Raceview Road Broughshane, Ballymena Co Antrim BT42 4HY","128 Raceview Road Broughshane, Ballymena BT42 4HY BT42 4HY",Antrim,Donna Kinnear,,02825861487,http://www.ballymenagolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 2, Available: True); Golf Buggies (Quantity: 1, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 0, Available: False)"
Ballymoney Golf Club,Ballymoney Gorey Co. Wexford,,Wexford,,info@ballymoneygolfclub.ie,0539421976,http://www.ballymoneygolfclub.ie,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 6, Available: True); Golf Buggies (Quantity: 4, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 20, Available: True)"
Ballyneety Golf Club,Ballyneety Limerick Co. Limerick,,Limerick,,info@ballyneetygolfclub.com,061351881,http://www.ballyneetygolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 4, Available: True); Golf Buggies (Quantity: 8, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 6, Available: True); Pull/Push Carts (Quantity: 30, Available: True)"
